#,Company,Symbol,Weight,      Price,Chg,% Chg
372,Epam Systems Inc,EPAM,0.043512,   254.18,-10.7,(-4.03%)
373,Huntington Bancshares Inc,HBAN,0.043279,   10.33,-0.2,(-1.90%)
374,Marathon Oil Corp,MRO,0.043143,   24.04,0.4,-1.71%
375,Teradyne Inc,TER,0.042913,   94.40,-1.15,(-1.20%)
376,Interpublic Group of Cos Inc,IPG,0.042885,   37.62,-0.78,(-2.02%)
377,Factset Research Systems Inc,FDS,0.042846,   385.33,-3.71,(-0.95%)
378,Jacobs Solutions Inc,J,0.042839,   114.63,-1.37,(-1.18%)
379,Brown & Brown Inc,BRO,0.042775,   63.11,-0.09,(-0.14%)
380,Pultegroup Inc,PHM,0.042647,   65.75,0.06,-0.09%
381,Tyson Foods Inc Cl A,TSN,0.042486,   51.85,0.18,-0.35%
382,Quest Diagnostics Inc,DGX,0.041891,   132.08,0.99,-0.75%
383,Netapp Inc,NTAP,0.041516,   66.25,-0.21,(-0.32%)
384,Everest Re Group Ltd,RE,0.041265,   361.67,-3.34,(-0.92%)
385,Cboe Global Markets Inc,CBOE,0.04101,   136.05,0.5,-0.37%
386,Hunt (Jb) Transprt Svcs Inc,JBHT,0.040915,   168.18,-3.36,(-1.96%)
387,Expedia Group Inc,EXPE,0.040283,   93.76,-0.4,(-0.42%)
388,Zebra Technologies Corp Cl A,ZBRA,0.040216,   263.34,-7.88,(-2.91%)
389,Ptc Inc,PTC,0.040099,   137.14,6.28,-4.80%
390,Aes Corp,AES,0.039928,   20.30,-0.46,(-2.22%)
391,Avery Dennison Corp,AVY,0.039892,   167.21,-2.4,(-1.42%)
392,Lkq Corp,LKQ,0.03978,   53.83,-0.71,(-1.29%)
393,Paycom Software Inc,PAYC,0.039682,   279.27,-4.7,(-1.66%)
394,Bunge Ltd,BG,0.039677,   90.56,-1.25,(-1.36%)
395,Snap on Inc,SNA,0.039582,   256.66,-1.81,(-0.70%)
396,Akamai Technologies Inc,AKAM,0.039571,   88.30,1.27,-1.46%
397,Best Buy Co Inc,BBY,0.039381,   68.72,-0.77,(-1.10%)
398,Citizens Financial Group,CFG,0.039263,   27.19,-0.68,(-2.44%)
399,Essex Property Trust Inc,ESS,0.038927,   208.53,-2.69,(-1.27%)
400,Evergy Inc,EVRG,0.038831,   58.20,-0.55,(-0.94%)
401,Textron Inc,TXT,0.038761,   62.32,-1.65,(-2.57%)
402,Synchrony Financial,SYF,0.038594,   30.10,-0.57,(-1.85%)
403,Fmc Corp,FMC,0.038473,   104.93,-1.72,(-1.61%)
404,Axon Enterprise Inc,AXON,0.038058,   193.94,-1.86,(-0.95%)
405,Cf Industries Holdings Inc,CF,0.038053,   66.09,-1.4,(-2.08%)
406,Pool Corp,POOL,0.037924,   334.02,-4.06,(-1.20%)
407,Alliant Energy Corp,LNT,0.037894,   51.99,-0.46,(-0.87%)
408,Bio Techne Corp,TECH,0.037685,   81.91,-1.3,(-1.56%)
409,Eqt Corp,EQT,0.037479,   36.79,0.94,-2.61%
410,Mgm Resorts International,MGM,0.036776,   39.82,-0.35,(-0.87%)
411,Udr Inc,UDR,0.035408,   39.68,-0.57,(-1.40%)
412,Mosaic Co,MOS,0.03492,   35.36,-0.33,(-0.91%)
413,Seagate Technology Holdings,STX,0.03486,   60.76,-1.61,(-2.58%)
414,Western Digital Corp,WDC,0.034743,   37.45,-0.35,(-0.94%)
415,Incyte Corp,INCY,0.034741,   64.30,-0.78,(-1.20%)
416,Host Hotels & Resorts Inc,HST,0.034619,   16.56,-0.26,(-1.55%)
417,Packaging Corp of America,PKG,0.034502,   127.47,-0.46,(-0.36%)
418,Stanley Black & Decker Inc,SWK,0.034387,   78.90,-2.43,(-2.99%)
419,C.H. Robinson Worldwide Inc,CHRW,0.034321,   99.30,-2.17,(-2.14%)
420,Nordson Corp,NDSN,0.033926,   213.92,-5.66,(-2.58%)
421,Trimble Inc,TRMB,0.033925,   45.69,-1.84,(-3.87%)
422,Wr Berkley Corp,WRB,0.033756,   57.07,-0.7,(-1.20%)
423,Camden Property Trust,CPT,0.033567,   103.82,-2.06,(-1.94%)
424,Live Nation Entertainment In,LYV,0.033384,   82.06,0,0.00%
425,Carmax Inc,KMX,0.03327,   69.95,-2.03,(-2.82%)
426,Molson Coors Beverage Co B,TAP,0.033156,   61.19,-0.43,(-0.70%)
427,International Paper Co,IP,0.033101,   31.53,-0.44,(-1.36%)
428,Masco Corp,MAS,0.03302,   50.57,-0.55,(-1.08%)
429,Brown Forman Corp Class B,BF.B,0.032638,   61.95,-1.03,(-1.64%)
430,Hormel Foods Corp,HRL,0.032408,   38.98,-0.13,(-0.32%)
431,Loews Corp,L,0.032359,   57.18,-0.73,(-1.25%)
432,Kimco Realty Corp,KIM,0.032346,   18.21,-0.22,(-1.17%)
433,Viatris Inc,VTRS,0.032254,   9.08,-0.17,(-1.79%)
434,Teleflex Inc,TFX,0.032037,   233.51,-3.76,(-1.58%)
435,Borgwarner Inc,BWA,0.031909,   46.24,-0.5,(-1.06%)
436,Carnival Corp,CCL,0.031857,   10.66,-0.39,(-3.49%)
437,Etsy Inc,ETSY,0.031718,   86.82,-1.21,(-1.37%)
438,Healthpeak Properties Inc,PEAK,0.031715,   19.78,-0.38,(-1.86%)
439,Apa Corp,APA,0.031711,   34.09,0.18,-0.53%
440,Nisource Inc,NI,0.031691,   27.50,0.14,-0.50%
441,Leidos Holdings Inc,LDOS,0.031684,   81.62,0.54,-0.67%
442,Domino S Pizza Inc,DPZ,0.031254,   305.85,1.56,-0.51%
